Date,Close,Date,Volume
2023-05-25,4159.75,2023-05-25,1966626
2023-05-26,4213.25,2023-05-26,1744425
2023-05-30,4215.0,2023-05-30,1957579
2023-05-31,4190.5,2023-05-31,2138566
2023-06-01,4228.0,2023-06-01,1868363
2023-06-02,4288.0,2023-06-02,1955603
2023-06-05,4281.0,2023-06-05,1668759
2023-06-06,4289.75,2023-06-06,1548125
2023-06-07,4274.25,2023-06-07,1925195
2023-06-08,4298.25,2023-06-08,1664333
2023-06-09,4304.75,2023-06-09,2176645
2023-06-12,4342.75,2023-06-12,1665175
2023-06-13,4371.75,2023-06-13,1317118
2023-06-14,4374.25,2023-06-14,758316
2023-06-15,4426.5,2023-06-15,486414
2023-06-16,4453.35009765625,2023-06-16,1895105
2023-06-20,4434.75,2023-06-20,1540416
2023-06-21,4409.25,2023-06-21,1468258
2023-06-22,4423.75,2023-06-22,1384002
2023-06-23,4389.0,2023-06-23,1550992
2023-06-26,4370.25,2023-06-26,1622416
2023-06-27,4418.75,2023-06-27,1512256
2023-06-28,4417.5,2023-06-28,1689461
2023-06-29,4435.75,2023-06-29,1628750
2023-06-30,4488.25,2023-06-30,1774940
2023-07-03,4492.25,2023-07-03,641289
2023-07-05,4483.75,2023-07-05,1193759
2023-07-06,4447.0,2023-07-06,1741520
2023-07-07,4434.0,2023-07-07,1691644
2023-07-10,4444.25,2023-07-10,1361155
2023-07-11,4473.5,2023-07-11,1340232
2023-07-12,4507.5,2023-07-12,1784296
2023-07-13,4543.5,2023-07-13,1158193
2023-07-14,4536.75,2023-07-14,1381069
2023-07-17,4553.75,2023-07-17,1057965
2023-07-18,4587.75,2023-07-18,1301460
2023-07-19,4597.0,2023-07-19,1538747
2023-07-20,4565.5,2023-07-20,1527727
2023-07-21,4564.75,2023-07-21,1432643
2023-07-24,4583.5,2023-07-24,1203661
2023-07-25,4596.0,2023-07-25,1219737
2023-07-26,4595.25,2023-07-26,1372426
2023-07-27,4564.25,2023-07-27,1924565
2023-07-28,4606.5,2023-07-28,1573973
2023-07-31,4614.5,2023-07-31,1299434
2023-08-01,4601.25,2023-08-01,1212261
2023-08-02,4537.25,2023-08-02,1917865
2023-08-03,4521.75,2023-08-03,1764076
2023-08-04,4498.0,2023-08-04,2044936
2023-08-07,4537.75,2023-08-07,1397301
2023-08-08,4518.5,2023-08-08,1696546
2023-08-09,4485.75,2023-08-09,1640285
2023-08-10,4485.75,2023-08-10,2227022
2023-08-11,4480.75,2023-08-11,1511048
2023-08-14,4506.0,2023-08-14,1277132
2023-08-15,4454.0,2023-08-15,1492516
2023-08-16,4420.0,2023-08-16,1499218
2023-08-17,4384.5,2023-08-17,1630481
2023-08-18,4382.75,2023-08-18,1746289
2023-08-21,4412.5,2023-08-21,1361470
2023-08-22,4399.25,2023-08-22,1375651
2023-08-23,4447.0,2023-08-23,1306640
2023-08-24,4386.0,2023-08-24,1783795
2023-08-25,4414.25,2023-08-25,1853335
2023-08-28,4442.25,2023-08-28,1266414
2023-08-29,4506.75,2023-08-29,1444714
2023-08-30,4524.25,2023-08-30,1397669
2023-08-31,4516.0,2023-08-31,1395751
2023-09-01,4521.5,2023-09-01,1416762
2023-09-05,4502.5,2023-09-05,1391805
2023-09-06,4471.5,2023-09-06,1600128
2023-09-07,4456.25,2023-09-07,1602226
2023-09-08,4461.75,2023-09-08,1686158
2023-09-11,4490.25,2023-09-11,1714266
2023-09-12,4465.0,2023-09-12,1153961
2023-09-13,4468.75,2023-09-13,690872
2023-09-14,4506.0,2023-09-14,454906
2023-09-15,4491.72021484375,2023-09-15,1825966
2023-09-18,4501.5,2023-09-18,1155158
2023-09-19,4490.0,2023-09-19,1422950
2023-09-20,4447.0,2023-09-20,1482206
2023-09-21,4372.0,2023-09-21,1998638
2023-09-22,4361.0,2023-09-22,1736576
2023-09-25,4378.75,2023-09-25,1561595
2023-09-26,4314.75,2023-09-26,1758048
